FID	IID	SUPERPOP	AFR	EAS	AMR	EUR
0	HG02078	EAS	7.4e-07	0.99999777	7.4e-07	7.4e-07
0	HG02079	EAS	7.4e-07	0.99999777	7.4e-07	7.4e-07
0	HG02081	EAS	7.4e-07	0.99999777	7.4e-07	7.4e-07
0	HG02082	EAS	7.5e-07	0.99999776	7.5e-07	7.5e-07
0	HG02084	EAS	7.4e-07	0.99999777	7.4e-07	7.4e-07
0	HG02085	EAS	7.5e-07	0.99999777	7.4e-07	7.4e-07
0	HG02086	EAS	7.5e-07	0.99999776	7.5e-07	7.5e-07
0	HG02087	EAS	7.4e-07	0.99999777	7.4e-07	7.4e-07
0	HG02088	EAS	7.4e-07	0.99999777	7.5e-07	7.5e-07
0	HG02089	AMR	0.00468943	0.49291323	0.50236932	2.802e-05
0	HG02090	AMR	0.11490897	0.4222731	0.46260874	0.00020918
0	HG02095	AFR	0.93601189	0.01744433	0.02385477	0.022689
0	HG02102	AMR	0.00186115	0.62217417	0.37596394	7.4e-07
0	HG02104	AMR	0.00017633	0.64506893	0.354754	7.4e-07
0	HG02105	AMR	7.4e-07	0.68525239	0.31474612	7.4e-07
0	HG02107	AFR	0.96596163	0.01245415	0.01279448	0.00878974
0	HG02108	AFR	0.83280115	0.01255401	0.09840022	0.05624462
0	HG02111	AFR	0.93207004	0.01428494	0.02284107	0.03080396
0	HG02113	EAS	7.4e-07	0.99999776	7.5e-07	7.5e-07
0	HG02116	EAS	7.4e-07	0.99999777	7.4e-07	7.4e-07
0	HG02121	EAS	7.4e-07	0.99999777	7.4e-07	7.4e-07
0	HG02122	EAS	7.4e-07	0.99999777	7.4e-07	7.5e-07
0	HG02127	EAS	7.4e-07	0.99999777	7.4e-07	7.4e-07
0	HG02128	EAS	7.5e-07	0.99999775	7.5e-07	7.5e-07
0	HG02130	EAS	7.5e-07	0.99999776	7.5e-07	7.5e-07
0	HG02131	EAS	0.02545994	0.97453857	7.4e-07	7.5e-07
0	HG02133	EAS	7.5e-07	0.99999776	7.4e-07	7.4e-07
0	HG02134	EAS	7.4e-07	0.99999777	7.4e-07	7.4e-07
0	HG02136	EAS	7.5e-07	0.99999776	7.4e-07	7.4e-07
0	HG02137	EAS	7.5e-07	0.99999776	7.5e-07	7.5e-07
0	HG02138	EAS	7.6e-07	0.99999774	7.5e-07	7.5e-07
0	HG02139	EAS	7.4e-07	0.99999777	7.4e-07	7.4e-07
0	HG02140	EAS	7.4e-07	0.99999777	7.4e-07	7.4e-07
0	HG02141	EAS	7.4e-07	0.99999777	7.4e-07	7.4e-07
0	HG02142	EAS	0.04228374	0.95771477	7.5e-07	7.5e-07
0	HG02143	AFR	0.82208842	0.02411352	0.08059227	0.07320579
0	HG02144	AFR	0.9442173	0.0076225	0.02552077	0.02263942
0	HG02146	AMR	7.4e-07	0.64856562	0.35143289	7.4e-07
0	HG02147	AMR	7.4e-07	0.66017177	0.33982674	7.4e-07
0	HG02150	AMR	7.4e-07	0.68655926	0.31343926	7.4e-07
0	HG02151	EAS	7.4e-07	0.99999777	7.4e-07	7.4e-07
0	HG02152	EAS	7.4e-07	0.99999777	7.4e-07	7.4e-07
0	HG02153	EAS	7.4e-07	0.99999777	7.4e-07	7.4e-07
0	HG02154	EAS	7.4e-07	0.99999777	7.4e-07	7.4e-07
0	HG02155	EAS	7.4e-07	0.99999777	7.4e-07	7.4e-07
0	HG02156	EAS	7.4e-07	0.99999777	7.4e-07	7.4e-07
0	HG02164	EAS	7.4e-07	0.99999777	7.4e-07	7.4e-07
0	HG02165	EAS	7.4e-07	0.99999777	7.4e-07	7.4e-07
0	HG02166	EAS	7.4e-07	0.99999777	7.4e-07	7.4e-07
0	HG02178	EAS	7.5e-07	0.99999776	7.5e-07	7.5e-07
0	HG02179	EAS	7.5e-07	0.99999776	7.4e-07	7.4e-07
0	HG02180	EAS	7.4e-07	0.99999777	7.4e-07	7.4e-07
0	HG02181	EAS	7.5e-07	0.99999776	7.5e-07	7.5e-07
0	HG02182	EAS	7.5e-07	0.99999776	7.4e-07	7.5e-07
0	HG02184	EAS	7.4e-07	0.99999777	7.4e-07	7.4e-07
0	HG02185	EAS	7.4e-07	0.99999777	7.4e-07	7.4e-07
0	HG02186	EAS	7.4e-07	0.99999777	7.4e-07	7.4e-07
0	HG02187	EAS	7.4e-07	0.99999777	7.4e-07	7.4e-07
0	HG02188	EAS	7.4e-07	0.99999777	7.4e-07	7.4e-07
0	HG02190	EAS	7.5e-07	0.99999776	7.4e-07	7.5e-07
0	HG02215	EUR	0.00082054	0.05888693	0.3954876	0.54480493
0	HG02219	EUR	0.01927778	0.06366217	0.64198628	0.27507377
0	HG02220	EUR	0.00975115	0.06022811	0.65458999	0.27543075
0	HG02221	EUR	0.01591329	0.05055333	0.56580392	0.36772946
0	HG02223	EUR	0.01434943	0.0563614	0.64227287	0.2870163
0	HG02224	EUR	0.00597471	0.06239915	0.67501886	0.25660728
0	HG02230	EUR	0.00846535	0.0615501	0.65811757	0.27186699
0	HG02231	EUR	0.01199153	0.06265183	0.5670617	0.35829494
0	HG02232	EUR	0.02520066	0.05919527	0.65400102	0.26160305
0	HG02233	EUR	0.03255667	0.05340531	0.63592546	0.27811256
0	HG02235	EUR	0.02726917	0.06520558	0.660504	0.24702125
0	HG02236	EUR	0.0203064	0.05695767	0.62449254	0.29824339
0	HG02238	EUR	0.02586323	0.04962277	0.59638846	0.32812554
0	HG02239	EUR	0.03675485	0.07115891	0.68955645	0.20252979
0	HG02250	EAS	7.4e-07	0.99999777	7.4e-07	7.4e-07
0	HG02252	AMR	0.00469024	0.50770224	0.48756328	4.425e-05
0	HG02253	AMR	0.00242233	0.42062261	0.57662084	0.00033421
0	HG02255	AFR	0.92821194	0.01359181	0.03395253	0.02424373
0	HG02256	AFR	0.777549	0.03465819	0.11151955	0.07627326
0	HG02259	AMR	7.4e-07	0.71307061	0.2869279	7.4e-07
0	HG02260	AMR	0.00022533	0.6112838	0.38849014	7.4e-07
0	HG02262	AMR	0.00059245	0.59724198	0.40216483	7.4e-07
0	HG02265	AMR	7.4e-07	0.69432781	0.30567071	7.4e-07
0	HG02266	AMR	7.4e-07	0.69799893	0.30199958	7.4e-07
0	HG02271	AMR	0.00011519	0.70760281	0.29228126	7.4e-07
0	HG02272	AMR	7.4e-07	0.73125912	0.2687394	7.4e-07
0	HG02274	AMR	0.23662341	0.45601361	0.30728763	7.535e-05
